paper1_id,paper2_id,shared_refs_count,paper1_title,paper2_title
addo2022information,addo2016explaining,33,Information technology and public administration modernization in a developing country: Pursuing pap,Explaining 'irrationalities' of it-enabled change in a developing country bureaucracy: The case of G
soma2025enhancing,kumar2021securing,24,Enhancing Supply Chain Transparency and Integrity: A Permissioned Blockchain Framework,Securing logistics system and supply chain using Blockchain
xin2022investment,wang2021blockchain,16,Investment strategy for blockchain technology in a shipping supply chain,Blockchain technology for port logistics capability: Exclusive or sharing
liu2023blockchain,irannezhad2020the,14,"Blockchain technology in maritime supply chains: applications, architecture and challenges",The Architectural Design Requirements of a Blockchain-Based Port Community System
liu2023blockchain,liu2020a,14,"Blockchain technology in maritime supply chains: applications, architecture and challenges",A blockchain-based framework of cross-border e-commerce supply chain
cui2025exploring,chen2022a,13,Exploring the knowledge mapping and research trends of cross-border e-commerce,A study of cross-border E-commerce research trends: Based on knowledge mapping and literature analys
niu2026the,niu2025information,12,The potential of AI-enabled quality control facing high inspection standard in resilient cross-borde,Information value versus flexibility cost: Comparison of dual sourcing and artificial intelligence s
singh2023graphfc,kim2020date,12,GraphFC: Customs Fraud Detection with Label Scarcity,DATE: Dual Attentive Tree-aware Embedding for Customs Fraud Detection
juma2020customsbasedb,juma2019a,11,Customs-based blockchain solution for exportation protection,A Survey on Using Blockchain in Trade Supply Chain Solutions
liu2023blockchain,valle2021blockchainbased,10,"Blockchain technology in maritime supply chains: applications, architecture and challenges",Blockchain‐based information management for supply chain data‐platforms
hofman2021using,rukanova2021identifying,10,Using Business Data in Customs Risk Management: Data Quality and Data Value Perspective,Identifying the value of data analytics in the context of government supervision: Insights from the 
irannezhad2020the,liu2020a,10,The Architectural Design Requirements of a Blockchain-Based Port Community System,A blockchain-based framework of cross-border e-commerce supply chain
niu2026the,niu2021should,9,The potential of AI-enabled quality control facing high inspection standard in resilient cross-borde,Should multinational firms implement blockchain to provide quality verification?
cui2025exploring,yang2023the,9,Exploring the knowledge mapping and research trends of cross-border e-commerce,"The Digital Platform, Enterprise Digital Transformation, and Enterprise Performance of Cross-Border "
kulshresth2024a,awah2021short,9,A deep learning-based multivariate decomposition and ensemble framework for container throughput for,Short term forecast of container throughput: New variables application for the port of douala
jiang2024blockchain,biswas2023traceability,9,"Blockchain technology empowers the cross-border dual-channel supply chain: Introduction strategy, ta",Traceability vs. sustainability in supply chains: The implications of blockchain
compagnucc2022uncovering,liu2020a,9,Uncovering the potential of blockchain in the agri-food supply chain: An interdisciplinary case stud,A blockchain-based framework of cross-border e-commerce supply chain
niu2022market,niu2021should,9,Market expansion vs. intensified competition: Overseas supplier's adoption of blockchain in a cross-,Should multinational firms implement blockchain to provide quality verification?
niu2026the,niu2022market,8,The potential of AI-enabled quality control facing high inspection standard in resilient cross-borde,Market expansion vs. intensified competition: Overseas supplier's adoption of blockchain in a cross-
niu2025information,niu2022market,8,Information value versus flexibility cost: Comparison of dual sourcing and artificial intelligence s,Market expansion vs. intensified competition: Overseas supplier's adoption of blockchain in a cross-
nasser2025blockchain,gao2022modeling,8,Blockchain technology in maritime single window and port community systems: A bibliometric analysis ,Modeling and analysis of port supply chain system based on Fabric blockchain
hasan2024critical,kumar2023prioritization,8,Critical analysis of the impact of big data analytics on supply chain operations,Prioritization of Functional Areas in Manufacturing Sector for BDA Application
gonzlezgar2023a,garca2021a,8,A Comparison Between Bayesian Dialysis and Machine Learning to Detect Tax Fraud and Its Causes: The ,A multi-objective bayesian approach with dynamic optimization (Mobado). a hybrid of decision theory 
liu2023blockchain,balci2021blockchain,8,"Blockchain technology in maritime supply chains: applications, architecture and challenges",Blockchain adoption in the maritime supply chain: Examining barriers and salient stakeholders in con
triepels2018datadriven,triepels2015uncovering,8,Data-driven fraud detection in international shipping,Uncovering document fraud in maritime freight transport based on probabilistic classification
nasser2025blockchain,yanac2024systematic,7,Blockchain technology in maritime single window and port community systems: A bibliometric analysis ,Systematic Review of Blockchain Technology Applied to Maritime Freight Transport
cui2025exploring,zhao2024a,7,Exploring the knowledge mapping and research trends of cross-border e-commerce,A Study of Cross-Border E-Commerce Supply Chain Research Rrends: Based on Knowledge Mapping and Lite
kulshresth2024a,cui2022regional,7,A deep learning-based multivariate decomposition and ensemble framework for container throughput for,Regional Collaborative Forecast of Cargo Throughput in China's Circum-Bohai-Sea Region Based on LSTM
wolf2024an,liu2023blockchain,7,An analysis of blockchain versus relational databases for digitalising information flows in global s,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
tian2024towards,compagnucc2022uncovering,7,Towards greener trade and global supply chain environmental accounting. An embodied environmental re,Uncovering the potential of blockchain in the agri-food supply chain: An interdisciplinary case stud
tian2024improving,liu2023blockchain,7,Improving operational efficiency through blockchain: evidence from a field experiment in cross-borde,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
sharma2023supply,liu2023blockchain,7,"Supply chain, geographical indicator and blockchain: provenance model for commodity","Blockchain technology in maritime supply chains: applications, architecture and challenges"
sharma2023supply,liu2020a,7,"Supply chain, geographical indicator and blockchain: provenance model for commodity",A blockchain-based framework of cross-border e-commerce supply chain
shubham2023an,chen2021the,7,An Ensemble-based approach for assigning text to correct Harmonized system code,The use of machine learning to identify the correctness of HS Code for the customs import declaratio
liu2023blockchain,compagnucc2022uncovering,7,"Blockchain technology in maritime supply chains: applications, architecture and challenges",Uncovering the potential of blockchain in the agri-food supply chain: An interdisciplinary case stud
liu2023blockchain,abidi2021blockchainbased,7,"Blockchain technology in maritime supply chains: applications, architecture and challenges",Blockchain-based secure information sharing for supply chain management: Optimization assisted data 
zhou2022blockchainenabled,valle2021blockchainbased,7,Blockchain-Enabled Cross-Border E-Commerce Supply Chain Management: A Bibliometric Systematic Review,Blockchain‐based information management for supply chain data‐platforms
xin2022investment,balci2021blockchain,7,Investment strategy for blockchain technology in a shipping supply chain,Blockchain adoption in the maritime supply chain: Examining barriers and salient stakeholders in con
wang2021blockchain,yang2019maritime,7,Blockchain technology for port logistics capability: Exclusive or sharing,"Maritime shipping digitalization: Blockchain-based technology applications, future improvements, and"
sinha2021blockchainbased,segers2019the,7,Blockchain-based smart contract for international business – a framework,The use of a blockchain-based smart import declaration to reduce the need for manual cross-validatio
rukanova2021ecommerce,rukanova2021identifying,7,eCommerce Platforms Evaluation Framework for Government,Identifying the value of data analytics in the context of government supervision: Insights from the 
abidi2021blockchainbased,irannezhad2020the,7,Blockchain-based secure information sharing for supply chain management: Optimization assisted data ,The Architectural Design Requirements of a Blockchain-Based Port Community System
alwanin2026customs,gonzlezgar2023a,6,Customs fraud detection using a gradient boosting approach for joint classification and risk estimat,A Comparison Between Bayesian Dialysis and Machine Learning to Detect Tax Fraud and Its Causes: The 
alwanin2026customs,garca2021a,6,Customs fraud detection using a gradient boosting approach for joint classification and risk estimat,A multi-objective bayesian approach with dynamic optimization (Mobado). a hybrid of decision theory 
alwanin2026customs,kim2020date,6,Customs fraud detection using a gradient boosting approach for joint classification and risk estimat,DATE: Dual Attentive Tree-aware Embedding for Customs Fraud Detection
wang2025analysis,xie2025pricing,6,Analysis of Price Dynamic Competition and Stability in Cross-Border E-Commerce Supply Chain Channels,Pricing decisions and stability analysis in blockchain-enabled cross-border dual-channel supply chai
niu2025information,niu2021should,6,Information value versus flexibility cost: Comparison of dual sourcing and artificial intelligence s,Should multinational firms implement blockchain to provide quality verification?
nasser2025blockchain,li2025blockchain,6,Blockchain technology in maritime single window and port community systems: A bibliometric analysis ,Blockchain Effects and Investment Strategies in the Maritime Supply Chain Under Perishable Goods Los
nasser2025blockchain,liu2023blockchain,6,Blockchain technology in maritime single window and port community systems: A bibliometric analysis ,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
nasser2025blockchain,balci2021blockchain,6,Blockchain technology in maritime single window and port community systems: A bibliometric analysis ,Blockchain adoption in the maritime supply chain: Examining barriers and salient stakeholders in con
nasser2025blockchain,irannezhad2020the,6,Blockchain technology in maritime single window and port community systems: A bibliometric analysis ,The Architectural Design Requirements of a Blockchain-Based Port Community System
anggoro2025harmonized,sasana2025towards,6,Harmonized system code classification using supervised contrastive learning with sentence BERT and m,Towards Better HS Code Prediction: A Comparative Study of Machine Learning and NLP Approaches
kumari2025has,castro2023the,6,Has FinTech reshaped global trade? New empirical evidence from structural gravity model,The effect of trade and customs digitalization on agrifood trade: A gravity approach
li2025blockchain,xin2022investment,6,Blockchain Effects and Investment Strategies in the Maritime Supply Chain Under Perishable Goods Los,Investment strategy for blockchain technology in a shipping supply chain
xie2024predicting,ye2024ecommerce,6,Predicting sales and cross-border e-commerce supply chain management using artificial neural network,E-Commerce Logistics and Supply Chain Network Optimization for Cross-Border
polimeni2024times,wan2020shipping,6,Times of Ships in Container Ports: AIS Data for Maritime Transport and Ports Applications,"Shipping emission inventories in China's Bohai Bay, Yangtze River Delta, and Pearl River Delta in 20"
wolf2024an,gao2022modeling,6,An analysis of blockchain versus relational databases for digitalising information flows in global s,Modeling and analysis of port supply chain system based on Fabric blockchain
wolf2024an,compagnucc2022uncovering,6,An analysis of blockchain versus relational databases for digitalising information flows in global s,Uncovering the potential of blockchain in the agri-food supply chain: An interdisciplinary case stud
wolf2024an,irannezhad2020the,6,An analysis of blockchain versus relational databases for digitalising information flows in global s,The Architectural Design Requirements of a Blockchain-Based Port Community System
wolf2024an,liu2020a,6,An analysis of blockchain versus relational databases for digitalising information flows in global s,A blockchain-based framework of cross-border e-commerce supply chain
wolf2024an,chang2020blockchain,6,An analysis of blockchain versus relational databases for digitalising information flows in global s,Blockchain in global supply chains and cross border trade: a critical synthesis of the state-of-the-
tian2024towards,liu2023blockchain,6,Towards greener trade and global supply chain environmental accounting. An embodied environmental re,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
tian2024towards,valle2021blockchainbased,6,Towards greener trade and global supply chain environmental accounting. An embodied environmental re,Blockchain‐based information management for supply chain data‐platforms
tian2024improving,valle2021blockchainbased,6,Improving operational efficiency through blockchain: evidence from a field experiment in cross-borde,Blockchain‐based information management for supply chain data‐platforms
tian2024improving,liu2020a,6,Improving operational efficiency through blockchain: evidence from a field experiment in cross-borde,A blockchain-based framework of cross-border e-commerce supply chain
biswas2023traceability,niu2022market,6,Traceability vs. sustainability in supply chains: The implications of blockchain,Market expansion vs. intensified competition: Overseas supplier's adoption of blockchain in a cross-
sharma2023supply,irannezhad2020the,6,"Supply chain, geographical indicator and blockchain: provenance model for commodity",The Architectural Design Requirements of a Blockchain-Based Port Community System
liu2023blockchain,wang2021blockchain,6,"Blockchain technology in maritime supply chains: applications, architecture and challenges",Blockchain technology for port logistics capability: Exclusive or sharing
liu2023blockchain,niu2021should,6,"Blockchain technology in maritime supply chains: applications, architecture and challenges",Should multinational firms implement blockchain to provide quality verification?
compagnucc2022uncovering,zhang2022blockchain,6,Uncovering the potential of blockchain in the agri-food supply chain: An interdisciplinary case stud,Blockchain: An emerging novel technology to upgrade the current fresh fruit supply chain
qu2022edge,bandong2021container,6,Edge Computing-Enabled Multi-Sensor Data Fusion for Intelligent Surveillance in Maritime Transportat,Container Detection System Using CNN Based Object Detectors
rukanova2021ecommerce,hofman2021using,6,eCommerce Platforms Evaluation Framework for Government,Using Business Data in Customs Risk Management: Data Quality and Data Value Perspective
herm2021towards,irannezhad2020the,6,Towards an implementation of blockchain-based collaboration platforms in supply chain networks: A re,The Architectural Design Requirements of a Blockchain-Based Port Community System
chang2020blockchain,chang2020blockchainenabled,6,Blockchain in global supply chains and cross border trade: a critical synthesis of the state-of-the-,Blockchain-enabled trade finance innovation: A potential paradigm shift on using letter of credit
alwanin2026customs,singh2023graphfc,5,Customs fraud detection using a gradient boosting approach for joint classification and risk estimat,GraphFC: Customs Fraud Detection with Label Scarcity
alwanin2026customs,jiunhooi2022feature,5,Customs fraud detection using a gradient boosting approach for joint classification and risk estimat,Feature Encoding For High Cardinality Categorical Variables Using Entity Embeddings: A Case Study in
wang2026digital,cui2025exploring,5,Digital leadership and the development of firms’ cross-border E-commerce,Exploring the knowledge mapping and research trends of cross-border e-commerce
quan2025optimizing,toorajipou2022block,5,Optimizing international trade settlement systems through blockchain-driven tri-chain collaboration:,Block by block: A blockchain-based peer-to-peer business transaction for international trade
fodouopkou2025navigating,fodouopkou2025enhancing,5,Navigating Disruption: The Role of Resilience and Digital Transformation in Chinese Cross-Border E-C,Enhancing resilience and sustainability in Chinese SMEs: integrating digital transformation strategi
wang2025empowering,tian2023a,5,Empowering econometric methods with machine learning for policy making: A comparative study in marit,A Decision-Focused Learning Framework for Vessel Selection Problem
fei2025reconstruction,cui2025exploring,5,Reconstruction of Logistics Services in Cross-Border E-Commerce and Consumer Continuance Intention o,Exploring the knowledge mapping and research trends of cross-border e-commerce
mirzaye2025digital,neirotti2025industry,5,"Digital Transformation in International Trade: Opportunities, Challenges, and Policy Implications",Industry 4.0 digital technologies and international performance: The role of family management in It
sun2025customs,liao2024enhanced,5,Customs Commodity Classification Method Based on the Fusion of Text Sequence and Graph Information,Enhanced HS Code Classification for Import and Export Goods via Multiscale Attention and ERNIE-BiLST
sun2025customs,zhou2022harmonized,5,Customs Commodity Classification Method Based on the Fusion of Text Sequence and Graph Information,Harmonized system code prediction of import and export commodities based on Hybrid Convolutional Neu
nasser2025blockchain,xin2022investment,5,Blockchain technology in maritime single window and port community systems: A bibliometric analysis ,Investment strategy for blockchain technology in a shipping supply chain
liu2025dualchannel,xin2022investment,5,Dual-channel slot sales strategy for container liner shipping companies with blockchain technology a,Investment strategy for blockchain technology in a shipping supply chain
li2025blockchain,liu2023blockchain,5,Blockchain Effects and Investment Strategies in the Maritime Supply Chain Under Perishable Goods Los,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
cui2025exploring,zuo2025coupling,5,Exploring the knowledge mapping and research trends of cross-border e-commerce,Coupling Between Sustainable Development of Cross-Border E-Commerce and E-Commerce Law Under the Bel
cui2025exploring,mou2019understanding,5,Exploring the knowledge mapping and research trends of cross-border e-commerce,Understanding the topics of export cross-border e-commerce consumers feedback: an LDA approach
kim2025improving,liu2023blockchain,5,Improving product safety in an international agrifood supply chain,"Blockchain technology in maritime supply chains: applications, architecture and challenges"
guo2025application,yan2023impact,5,Application of big data in forecasting logistics demand and resource allocation for cross-border E-c,Impact and optimization strategy of cross-border e-commerce on aquatic product supply chain under th
xie2024predicting,yang2024a,5,Predicting sales and cross-border e-commerce supply chain management using artificial neural network,A neural network-based model for cross-border e-commerce supply chain demand forecasting and invento
hua2024international,juma2019a,5,International trade privacy data management system combining Internet of Things blockchain,A Survey on Using Blockchain in Trade Supply Chain Solutions
yang2024a,zhao2024a,5,A neural network-based model for cross-border e-commerce supply chain demand forecasting and invento,A Study of Cross-Border E-Commerce Supply Chain Research Rrends: Based on Knowledge Mapping and Lite
zhao2024a,chen2022a,5,A Study of Cross-Border E-Commerce Supply Chain Research Rrends: Based on Knowledge Mapping and Lite,A study of cross-border E-commerce research trends: Based on knowledge mapping and literature analys
wolf2024an,valle2021blockchainbased,5,An analysis of blockchain versus relational databases for digitalising information flows in global s,Blockchain‐based information management for supply chain data‐platforms
wolf2024an,herm2021towards,5,An analysis of blockchain versus relational databases for digitalising information flows in global s,Towards an implementation of blockchain-based collaboration platforms in supply chain networks: A re
wolf2024an,chang2020blockchainenabled,5,An analysis of blockchain versus relational databases for digitalising information flows in global s,Blockchain-enabled trade finance innovation: A potential paradigm shift on using letter of credit
wolf2024an,juma2019a,5,An analysis of blockchain versus relational databases for digitalising information flows in global s,A Survey on Using Blockchain in Trade Supply Chain Solutions
yang2023the,chen2022a,5,"The Digital Platform, Enterprise Digital Transformation, and Enterprise Performance of Cross-Border ",A study of cross-border E-commerce research trends: Based on knowledge mapping and literature analys
