cluster_id,label,paper_count
7,Anomaly Detection + Fraud Detection + Machine Learning,31
0,Customs + Customs Declaration + Customs Control,66
41,E-Commerce + Consumer Preferences + E-Commerce Satisfaction,5
8,Maritime Safety + Maritime Transport + Maritime Surveillance,30
5,Risk Assessment + Bp Neural Network + Neural Network,37
27,Traceability + Cross-Border Agri-Commodity Trade + Green Supply Chain,9
25,Sustainability + Trade + Corporate Political Activity,10
2,Digital Trade + Digital Economy + Digital Transformation,49
63,Correlation + Investment In Ai + Regression,1
4,Artificial Intelligence + Ai + Wto,44
33,Global Value Chains + Digitalization + Trade Facilitation,7
18,Carbon Emission + Energy Trade Networks + Energy Transition Indicators,13
3,Lstm + Forecasting + Time Series Analysis,45
75,Digital Leadership + Government Incentive + Supply Chain Digitalization,1
74,Double-Debiased Machine Learning + Entrepreneurial Activity + Cross-Border E-Commerce,1
29,Global Value Chains + Baltic Dry Index + Freight Rate,8
1,Text Classification + Hs Code + Harmonized System,51
22,Natural Language Processing + Computer Science + Semiconductor Supply Chain,11
20,Smes + Small And Medium Enterprises + Digital Transformation,12
12,Air Cargo + Container + Digitalization,22
11,Marketing + Supply Chain + Industrial Organization,24
21,Corporate Supply Chain Risk Perception + Supply Chain Operational Efficiency + Cbec Enterprise,12
13,Image Processing + Computer Vision + Commodity Name Recognition,19
51,Broodstock + Penaeus Vannamei + Quarantine,2
50,Decentralized Settlement System + Tri-Chain Collaboration + Structural Equation,2
84,Blockchain Regulatory Harmonization + Multi-Stakeholder Game Model + Pareto Efficiency,1
9,Key Performance Indicators + Port Supply Chain + Maritime Logistics,29
40,Credit Risk Management Model + Algorithm Improvement + Credit Risk Evaluation,6
15,Natural Language Processing + Attention Mechanism + Sentiment Analysis,16
26,Regulatory Compliance + Ai-Empowered Compliance + Cross-Border Data Trust,10
39,Supplier Selection + Chinese Firms + Digitalization Of Enterprises,6
16,Stackelberg Game + Stability + Logistics Transparency,16
73,Dynamic Risk Assessment + Privacy Protection + Zero-Knowledge Proof,1
28,Internet Of Things + Cross-Border Paperless Trade + Cyber Security Model,9
52,Digital Management + Ecological Competitive Advantage + Flexible Supply Chain,2
97,Ahp Method + Drug Traceability + Risk Analysis,1
45,Business Process Reengineering + Consumer Continuance Intention + Digitalization Of Logistics Services,4
30,Political Science + Countermeasures + Foreign Investment,8
24,Cross-Border E-Commerce + Gaussian Processes + Ml Applications,11
109,Customs Modernization + Startups + Supply Chain Security,1
14,Money Laundering + Finance + Financial System,18
59,Supply Chain Resilience + Nlp + Deep Learning,1
10,Logistics Optimization + Logistics + Automation,24
80,Disruptive Technologies + Indian Customs + Customs Risk Management,1
36,World Wide Web + Cross-Border E-Commerce Of Agricultural Products + Cobit 2019,6
6,Smart Contract + Trade Finance + International Trade,32
44,Optimization Models + Predictive Mod-Elling + Sarima-Cnn-Bilstm,4
106,Central Asia Trade + Sustainable Supply Chains + Transparency In Logistics,1
76,E-Readiness + Analytic Hierarchy Process + Customs,1
19,Digitalization + International Trade + Law,12
56,Decentralized Ledger + Product Traceability + Automation,1
105,Ebsi + Regulatory Compliance + Cross-Border Trade,1
77,Internet Or Economic Information + Big Data + Supply Chain Management,1
46,Internet Of Things + Home Automation + Transaction Efficiency,3
95,Cross-Border E-Commerce Logistics + Development Path Optimization + Supply Chain Optimization,1
34,Trend Prediction + Authenticity Verification + Demand Analysis,7
102,Data Integration + Predictive Models + Proactive Strategy,1
23,Cross-Border E-Commerce + Risk Regulation Model + Cross-Border E-Commerce Live Streaming,11
66,System Integration + Decentralization + Information Security,1
89,Data Integrity + Blockchain Technology Applications And Security + Transparency,1
35,Traceability + Agriculture + The European Union,7
47,Cross-Border E-Commerce Logistics Path Design + Python Simulation + Collaborative Filtering Algorithm,3
38,Lmbp Algorithm + Supply Chain Performance + Bellman Equation,6
104,Cross-Border/ Expert + Network Optimization + Logistics,1
96,Artificial Intelligence Technologies + E-Commerce And Logistics Platforms + Single Window,1
43,4Ir + Afcfta + Analytic Network Process,4
57,Algorithmic Research + Logistics Forecasting + Operational Optimization,1
49,Anti-Fraud + Comparative Advantage + Ntr Index,3
108,Cross Border E-Commerce Platforms + Data Mining Algorithms + Digital Finance Risk Control,1
79,Abc Inventory Taxonomy + Economic Lot Ordering Model + Arima Model,1
94,Distributed Ledger + Block-Chain + Customs Procedures,1
86,Cross-Border E-Commerce Supply Chain + Knowledge Mapping + Literature Review,1
60,Innovation Mode + Inverse Function + Trust Relationship,1
112,Cross-Border Dual-Channel Supply Chain + Tax Differences + Stackelberg Game,1
54,Data Intensive + Inventory Prediction + Light Gradient Boosting,2
92,Supply Chain Network Optimization + Machine Learning + Cross-Border E-Commerce,1
72,Iot + Security + Transparency,1
101,Agricultural Product Exports + Gru Neural Network + Prophet Algorithm,1
81,Field Experiment + Operational Efficiency + Cross-Border Trade,1
48,Expert System + Export Control + Data Creation,3
103,Data Elements + Enterprise Performance + Service Capabilities,1
82,Business To Consumer + Electronic Commerce (E-Commerce) + Sustainable Supply Chain,1
32,Absorptive Capacity + Digital Supply Chain Transformation + Knowledge Creation,7
31,Traceability + Closed-Loop Supply Chain + Equity Of Supply Chain,7
90,Anti-Money-Laundering Legislation + Blockchain-Led Maritime Trade + Crypto In Trade Finance,1
58,Data-Intensive + Inventory Forecasting + Replenishment Automation,1
87,Supply Chain Collaboration Model + Cross-Border E-Commerce + Blockchain,1
64,Aquatic Product Supply Chain Optimization + Big Data + Cross-Border E-Commerce,1
67,Risk Derivatives + Suppliers + Supply Chain Risk,1
42,Exchange Rate + Certificate Of Origin + Letter Of Credit,5
110,Constrained Clustering + Cross-Border E-Commerce Shopping Guide Platform + Artificial Intelligence,1
98,Cross-Border Transactions + Information Security + Smart Contract,1
113,E-Commerce Industry + Supply Chain Management + Blockchain,1
107,Benefits + Oman 2040 Vision + Challenges,1
17,Quality + Automation + Manufacturing Functional Areas,15
88,Bibliometric Analysis + Supply Chain Management + Cross-Border E-Commerce,1
68,Fresh Fruit + Smart Contract + Supply Chain Management,1
70,Cross-Border Payment System + Distributed Accounting + E- Commerce,1
99,Management Mode + Multinational Enterprise + Blockchain,1
71,Digital Suppy Chain Architecture + Intermediation Mechanism + Industry 4.0,1
53,Cp-Abe + Data Sharing + Decentralized Identifier,2
62,Recommendations + Supply Chain Application + Cross-Border E-Commerce,1
100,Bottleneck + Status Quo + Constraint,1
37,Barriers And Countermeasures + Data Mining Algorithm + Big Data Analysis Technology,6
55,Inco Terms + Qualitative + Side Chains,1
69,B2C E-Commerce + Operational Challenges + Reverse Logistics,1
78,Closed-Loop + Cross-Border E-Commerce Industry + Value Innovation,1
85,Free Trade Port + Platform Architecture Design + Supply Chain,1
91,Crosspoint-Based Update + Data Sanitization And Restoration + Optimal Key Selection,1
65,China And Japan + Ecosystem + Korea,1
61,Product Traceability + Supply Chain Management + Cross-Border E-Commerce,1
111,Critical Synthesis + Global Trade + Logistics,1
83,Block Chain + Capital Flow + Cross-Border E-Commercet,1
93,World Customs Organization + Dubai Customs + Trade Supply Chain,1
